Chillwind Yeti|Chillwind Yeti|Darkscale Healer|Darkscale Healer|Drain Life|Drain Life|Hellfire|Hellfire|Kobold Geomancer|Kobold Geomancer|Murlock Raider|Murloc Raider|Ogre Magi|Ogre Magi|Reckless Rocketeer|Reckless Rocketeer|River Crocolisk|River Crocolisk|Shadow Bolt|Shadow Bolt|Succubus|Succubus|Voidwalker|Voidwalker|Voodoo Doctor|Voodoo Doctor|War Golem|War Golem|Wolfrider|Wolfrider|
Possessed Villager|Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Gnomeferatu|Gnomeferatu|Howlfiend|Treachery|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Dirty Rat|Dirty Rat|Golakka Crawler|Tainted Zealot|Coldlight Oracle|Coldlight Oracle|Stonehill Defender|Stonehill Defender|Skulking Geist|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Vicious Fledgling|Vicious Fledgling|Saronite Chain Gang|Saronite Chain Gang|Spellbreaker|Bonemare|Bonemare|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Southsea Captain|Southsea Captain|Tar Creeper|Tar Creeper|Defender of Argus|Defender of Argus|Bonemare|Bonemare|
Mortal Coil|Mortal Coil|Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Drain Soul|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Tainted Zealot|Earthen Ring Farseer|Earthen Ring Farseer|Happy Ghoul|Happy Ghoul|Tar Creeper|Tar Creeper|Twilight Drake|Twilight Drake|The Lich King|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Tar Creeper|Tar Creeper|Vicious Fledgling|Vicious Fledgling|Saronite Chain Gang|Saronite Chain Gang|Bonemare|Bonemare|
Possessed Villager|Possessed Villager|Voidwalker|Voidwalker|Defile|Defile|Gnomeferatu|Gnomeferatu|Howlfiend|Treachery|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Doomsayer|Youthful Brewmaster|Coldlight Oracle|Coldlight Oracle|Stonehill Defender|Stonehill Defender|Prince Valanar|Elise the Trailblazer|Skulking Geist|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Patches the Pirate|Prince Keleseth|Vicious Fledgling|Vicious Fledgling|Defender of Argus|Defender of Argus|Spellbreaker|Cobalt Scalebane|Cobalt Scalebane|Bonemare|Bonemare|
Blood Imp|Mortal Coil|Voidwalker|Corrupting Mist|Demonfire|Drain Soul|Shadow Bolt|Hellfire|Despicable Dreadlord|Tar Lurker|Dread Infernal|Siphon Soul|Acherus Veteran|Mistress of Mixtures|Amani Berserker|Dire Wolf Alpha|River Crocolisk|Stubborn Gastropod|Deathspeaker|Earthen Ring Farseer|Ironfur Grizzly|Razorfen Hunter|Shattered Sun Cleric|Dark Iron Dwarf|Sen'jin Shieldmasta|Cobalt Scalebane|Bonemare|Stormwind Champion|Volcanosaur|Faceless Behemoth|
Flame Imp|Flame Imp|Possessed Villager|Possessed Villager|Sanguine Reveler|Sanguine Reveler|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Ravenous Pterrordax|Ravenous Pterrordax|Bloodsail Corsair|Bloodsail Corsair|Patches the Pirate|Prince Keleseth|Devilsaur Egg|Devilsaur Egg|Tar Creeper|Tar Creeper|Vicious Fledgling|Vicious Fledgling|Defender of Argus|Defender of Argus|Cobalt Scalebane|Cobalt Scalebane|Leeroy Jenkins|Bonemare|Bonemare|The Lich King|
Darkbomb|Darkbomb|Defile|Defile|Imp Gang Boss|Summoning Portal|Summoning Portal|Siphon Soul|Siphon Soul|Bloodmage Thalnos|Doomsayer|Doomsayer|Knife Juggler|Knife Juggler|Novice Engineer|Novice Engineer|Tuskarr Fisherman|Tuskarr Fisherman|Coldlight Oracle|Deathspeaker|Deathspeaker|Stonehill Defender|Stonehill Defender|Saronite Chain Gang|Antique Healbot|Antique Healbot|Grim Patron|Emperor Thaurissan|Necrotic Geist|Mountain Giant|
Flame Imp|Flame Imp|Possessed Villager|Possessed Villager|Power Overwhelming|Power Overwhelming|Voidwalker|Voidwalker|Darkshire Councilman|Imp Gang Boss|Imp Gang Boss|Imp-losion|Imp-losion|Ravenous Pterrordax|Ravenous Pterrordax|Voidcaller|Voidcaller|Doomguard|Dire Wolf Alpha|Dire Wolf Alpha|Haunted Creeper|Haunted Creeper|Knife Juggler|Knife Juggler|Nerubian Egg|Nerubian Egg|Defender of Argus|Defender of Argus|Leeroy Jenkins|Sea Giant|
Voidwalker|Darkbomb|Defile|Shadow Bolt|Blastcrystal Potion|Hellfire|Shadowflame|Voidcaller|Despicable Dreadlord|Siphon Soul|Abyssal Enforcer|Twisting Nether|Krul the Unshackled|Mal'Ganis|Bloodreaver Gul'dan|Doomsayer|Gluttonous Ooze|Stonehill Defender|Kazakus|Piloted Shredder|Twilight Drake|Antique Healbot|Feugen|Loatheb|Sludge Belcher|Stalagg|Reno Jackson|Sylvanas Windrunner|N'Zoth, the Corruptor|Mountain Giant|
Mortal Coil|Mortal Coil|Voidwalker|Voidwalker|Defile|Defile|Hellfire|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Doomsayer|Tainted Zealot|Tainted Zealot|Earthen Ring Farseer|Earthen Ring Farseer|Gluttonous Ooze|Eater of Secrets|Faceless Shambler|Spellbreaker|Twilight Drake|Mountain Giant|Mountain Giant|
Lakkari Sacrifice|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Clutchmother Zavas|Darkshire Librarian|Darkshire Librarian|Defile|Defile|Gnomeferatu|Howlfiend|Howlfiend|Silverware Golem|Silverware Golem|Lakkari Felhound|Lakkari Felhound|Blood-Queen Lana'thel|Doomguard|Doomguard|Siphon Soul|Siphon Soul|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Doomsayer|Elise the Trailblazer|Deathwing|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Southsea Captain|Southsea Captain|Tar Creeper|Tar Creeper|Dark Iron Dwarf|Dark Iron Dwarf|Saronite Chain Gang|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Silverware Golem|Silverware Golem|Crystalweaver|Crystalweaver|Ravenous Pterrordax|Ravenous Pterrordax|Doomguard|Doomguard|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Patches the Pirate|Prince Keleseth|Harvest Golem|Shattered Sun Cleric|Southsea Captain|Defender of Argus|Defender of Argus|
Blood Imp|Blood Imp|Lakkari Sacrifice|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Mortal Coil|Corrupting Mist|Darkshire Librarian|Darkshire Librarian|Succubus|Succubus|Sense Demons|Sense Demons|Lakkari Felhound|Lakkari Felhound|Blood-Queen Lana'thel|Doomguard|Doomguard|Kabal Trafficker|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Acolyte of Pain|Ironbeak Owl|Corpsetaker|Bloodworm|Prince Malchezaar|
Sacrificial Pact|Sacrificial Pact|Mortal Coil|Mortal Coil|Voidwalker|Voidwalker|Demonfire|Demonfire|Hellfire|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Lord Jaraxxus|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Golakka Crawler|Golakka Crawler|Earthen Ring Farseer|Earthen Ring Farseer|Tar Creeper|Tar Creeper|The Black Knight|The Lich King|
Possessed Villager|Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Gnomeferatu|Gnomeferatu|Howlfiend|Treachery|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Dirty Rat|Dirty Rat|Golakka Crawler|Tainted Zealot|Coldlight Oracle|Coldlight Oracle|Stonehill Defender|Stonehill Defender|Skulking Geist|
Mortal Coil|Voidwalker|Defile|Drain Soul|Gnomeferatu|Treachery|Blastcrystal Potion|Hellfire|Despicable Dreadlord|Dread Infernal|Siphon Soul|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Bloodmage Thalnos|Dirty Rat|Doomsayer|Tainted Zealot|Kabal Courier|Tar Creeper|Faceless Shambler|Kazakus|Spellbreaker|Twilight Drake|Elise the Trailblazer|Cairne Bloodhoof|Skulking Geist|The Lich King|Mountain Giant|
Mortal Coil|Voidwalker|Voidwalker|Shadow Bolt|Shadow Bolt|Blastcrystal Potion|Blastcrystal Potion|Hellfire|Hellfire|Ravenous Pterrordax|Ravenous Pterrordax|Shadowflame|Doomguard|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Lord Jaraxxus|Fire Fly|Fire Fly|Dirty Rat|Knife Juggler|Knife Juggler|Stonehill Defender|Stonehill Defender|Tar Creeper|Tar Creeper|Defender of Argus|Defender of Argus|Elise the Trailblazer|Second-Rate Bruiser|
Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Drain Soul|Howlfiend|Howlfiend|Treachery|Treachery|Despicable Dreadlord|Despicable Dreadlord|Dread Infernal|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Doomsayer|Loot Hoarder|Loot Hoarder|Wild Pyromancer|Wild Pyromancer|Acolyte of Pain|Bloodworm|Skulking Geist|
Corrupting Mist|Defile|Defile|Drain Soul|Drain Soul|Shadow Bolt|Bane of Doom|Despicable Dreadlord|Despicable Dreadlord|Kabal Trafficker|Kabal Trafficker|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Drakkari Enchanter|Drakkari Enchanter|Earthen Ring Farseer|Earthen Ring Farseer|Moroes|Tinkmaster Overspark|Prince Valanar|Harrison Jones|Hogger|Illidan Stormrage|Madam Goya|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Unwilling Sacrifice|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Southsea Captain|Southsea Captain|Tar Creeper|Saronite Chain Gang|Saronite Chain Gang|Spellbreaker|Bonemare|Bonemare|The Lich King|
Lakkari Sacrifice|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Mortal Coil|Soulfire|Soulfire|Clutchmother Zavas|Darkshire Librarian|Darkshire Librarian|Defile|Defile|Howlfiend|Howlfiend|Silverware Golem|Silverware Golem|Lakkari Felhound|Lakkari Felhound|Blood-Queen Lana'thel|Doomguard|Doomguard|Siphon Soul|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Golakka Crawler|Golakka Crawler|Earthen Ring Farseer|Earthen Ring Farseer|Elise the Trailblazer|
Power Overwhelming|Voidwalker|Darkbomb|Defile|Demonwrath|Shadow Bolt|Blastcrystal Potion|Hellfire|Shadowflame|Despicable Dreadlord|Doomguard|Siphon Soul|Abyssal Enforcer|Twisting Nether|Krul the Unshackled|Mal'Ganis|Bloodreaver Gul'dan|Doomsayer|Earthen Ring Farseer|Tar Creeper|Kazakus|Twilight Drake|Antique Healbot|Faceless Manipulator|Leeroy Jenkins|Sludge Belcher|Emperor Thaurissan|Reno Jackson|Sylvanas Windrunner|Mountain Giant|
Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Gnomeferatu|Gnomeferatu|Howlfiend|Treachery|Treachery|Despicable Dreadlord|Despicable Dreadlord|Felfire Potion|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Doomsayer|Doomsayer|Tainted Zealot|Tainted Zealot|Coldlight Oracle|Coldlight Oracle|Prince Valanar|Skulking Geist|The Lich King|Alexstrasza|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Acherus Veteran|Acherus Veteran|Argent Squire|Argent Squire|Fire Fly|Fire Fly|Prince Keleseth|Tar Creeper|Tar Creeper|Defender of Argus|Defender of Argus|Spellbreaker|Bonemare|Bonemare|
Voidwalker|Voidwalker|Defile|Defile|Treachery|Treachery|Unlicensed Apothecary|Unlicensed Apothecary|Blastcrystal Potion|Hellfire|Shadowflame|Siphon Soul|Abyssal Enforcer|Twisting Nether|Mistress of Mixtures|Bloodmage Thalnos|Dirty Rat|Dirty Rat|Doomsayer|Sunfury Protector|Tainted Zealot|Earthen Ring Farseer|Earthen Ring Farseer|Faceless Shambler|Faceless Shambler|Twilight Drake|Twilight Drake|Leeroy Jenkins|Mountain Giant|Mountain Giant|
Mortal Coil|Mortal Coil|Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Treachery|Treachery|Unlicensed Apothecary|Unlicensed Apothecary|Blastcrystal Potion|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Bloodmage Thalnos|Dirty Rat|Dirty Rat|Doomsayer|Doomsayer|Tainted Zealot|Earthen Ring Farseer|Earthen Ring Farseer|Barnes|Leeroy Jenkins|
Mortal Coil|Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Drain Soul|Blastcrystal Potion|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Dirty Rat|Doomsayer|Earthen Ring Farseer|Earthen Ring Farseer|Stonehill Defender|Twilight Drake|Twilight Drake|Skulking Geist|Medivh, the Guardian|The Lich King|
Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Shadow Bolt|Shadow Bolt|Blastcrystal Potion|Blastcrystal Potion|Hellfire|Hellfire|Pit Lord|Pit Lord|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Bloodreaver Gul'dan|DOOM!|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Doomsayer|Tainted Zealot|Earthen Ring Farseer|Earthen Ring Farseer|Twilight Drake|Twilight Drake|
Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Drain Soul|Shadow Bolt|Shadow Bolt|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Doomsayer|Tainted Zealot|Gluttonous Ooze|Tar Creeper|Tar Creeper|Eater of Secrets|Spellbreaker|Elise the Trailblazer|The Black Knight|The Lich King|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Silverware Golem|Silverware Golem|Crystalweaver|Crystalweaver|Ravenous Pterrordax|Ravenous Pterrordax|Doomguard|Doomguard|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Patches the Pirate|Prince Keleseth|Harvest Golem|Shattered Sun Cleric|Southsea Captain|Defender of Argus|Defender of Argus|
Flame Imp|Flame Imp|Mortal Coil|Mortal Coil|Possessed Villager|Possessed Villager|Soulfire|Soulfire|Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Drain Soul|Drain Life|Drain Life|Shadow Bolt|Shadow Bolt|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Dread Infernal|Dread Infernal|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Lord Jaraxxus|Bloodreaver Gul'dan|
Mortal Coil|Voidwalker|Defile|Drain Soul|Shadow Bolt|Blastcrystal Potion|Hellfire|Ravenous Pterrordax|Despicable Dreadlord|Dread Infernal|Felfire Potion|Kabal Trafficker|Siphon Soul|Abyssal Enforcer|Bloodreaver Gul'dan|Mistress of Mixtures|Acidic Swamp Ooze|Bloodmage Thalnos|Doomsayer|Tainted Zealot|Earthen Ring Farseer|Happy Ghoul|Kabal Courier|Mind Control Tech|Tar Creeper|Kazakus|Spellbreaker|Twilight Drake|Primordial Drake|The Lich King|
Malchezaar's Imp|Malchezaar's Imp|Possessed Villager|Possessed Villager|Sanguine Reveler|Sanguine Reveler|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Drain Life|Drain Life|Silverware Golem|Silverware Golem|Hellfire|Ravenous Pterrordax|Ravenous Pterrordax|Doomguard|Doomguard|Dread Infernal|Argent Squire|Argent Squire|Prince Keleseth|Coldlight Oracle|Coldlight Oracle|Devilsaur Egg|Devilsaur Egg|Happy Ghoul|Happy Ghoul|Stonehill Defender|
Blood Imp|Blood Imp|Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Crystalweaver|Crystalweaver|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Bloodsail Corsair|Bloodsail Corsair|Patches the Pirate|Prince Keleseth|Southsea Captain|Southsea Captain|Vicious Fledgling|Vicious Fledgling|Spellbreaker|Bonemare|Bonemare|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Darkshire Councilman|Darkshire Councilman|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Vicious Fledgling|Vicious Fledgling|Saronite Chain Gang|Saronite Chain Gang|Bonemare|Bonemare|
Defile|Drain Soul|Drain Life|Shadow Bolt|Despicable Dreadlord|Doomguard|Tar Lurker|Felfire Potion|Kabal Trafficker|Siphon Soul|Abyssal Enforcer|Twisting Nether|Krul the Unshackled|Bloodreaver Gul'dan|Mistress of Mixtures|Doomsayer|Friendly Bartender|Golakka Crawler|Earthen Ring Farseer|Happy Ghoul|Ironbeak Owl|Kabal Courier|Tar Creeper|Kazakus|Prince Valanar|Skulking Geist|Medivh, the Guardian|Primordial Drake|The Lich King|Mountain Giant|
Forbidden Ritual|Forbidden Ritual|Flame Imp|Flame Imp|Soulfire|Soulfire|Bloodbloom|Bloodbloom|Darkbomb|Darkbomb|Demonfuse|Bloodfury Potion|Bloodfury Potion|Chittering Tunneler|Chittering Tunneler|Unlicensed Apothecary|Unlicensed Apothecary|DOOM!|DOOM!|Elven Archer|Elven Archer|Emerald Reaver|Emerald Reaver|Blowgill Sniper|Blowgill Sniper|Millhouse Manastorm|Coldlight Oracle|Coldlight Oracle|Disciple of C'Thun|Disciple of C'Thun|
Mortal Coil|Mortal Coil|Voidwalker|Voidwalker|Defile|Defile|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Doomsayer|Doomsayer|Sunfury Protector|Sunfury Protector|Tainted Zealot|Earthen Ring Farseer|Gluttonous Ooze|Spellbreaker|Twilight Drake|Twilight Drake|The Lich King|Mountain Giant|Mountain Giant|
Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Drain Soul|Shadow Bolt|Shadow Bolt|Despicable Dreadlord|Despicable Dreadlord|Dread Infernal|Dread Infernal|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Tainted Zealot|Tainted Zealot|Stonehill Defender|Stonehill Defender|Spellbreaker|Twilight Drake|Twilight Drake|Mountain Giant|Mountain Giant|
Possessed Villager|Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Gnomeferatu|Gnomeferatu|Despicable Dreadlord|Despicable Dreadlord|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Dirty Rat|Dirty Rat|Doomsayer|Tainted Zealot|Youthful Brewmaster|Youthful Brewmaster|Coldlight Oracle|Coldlight Oracle|Stonehill Defender|Stonehill Defender|Skulking Geist|
Flame Imp|Flame Imp|Malchezaar's Imp|Malchezaar's Imp|Soulfire|Soulfire|Voidwalker|Voidwalker|Bloodfury Potion|Darkshire Councilman|Darkshire Councilman|Ravenous Pterrordax|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Patches the Pirate|Prince Keleseth|Vicious Fledgling|Vicious Fledgling|Defender of Argus|Saronite Chain Gang|Bonemare|Bonemare|
Flame Imp|Flame Imp|Mortal Coil|Possessed Villager|Possessed Villager|Power Overwhelming|Power Overwhelming|Darkshire Councilman|Darkshire Councilman|Imp Gang Boss|Imp Gang Boss|Imp-losion|Imp-losion|Despicable Dreadlord|Despicable Dreadlord|Acherus Veteran|Acherus Veteran|Bloodsail Corsair|Bloodsail Corsair|Fire Fly|Fire Fly|Patches the Pirate|Prince Keleseth|Tar Creeper|Defender of Argus|Defender of Argus|Cobalt Scalebane|Cobalt Scalebane|Bonemare|Bonemare|
Mortal Coil|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Abusive Sergeant|Abusive Sergeant|Argent Squire|Elven Archer|Elven Archer|Worgen Infiltrator|Acidic Swamp Ooze|Acidic Swamp Ooze|Bloodfen Raptor|Murloc Tidehunter|Murloc Tidehunter|River Crocolisk|Earthen Ring Farseer|Harvest Golem|Razorfen Hunter|Razorfen Hunter|Shattered Sun Cleric|Shattered Sun Cleric|Dark Iron Dwarf|Sen'jin Shieldmasta|Twilight Drake|Frostwolf Warlord|Frostwolf Warlord|Bonemare|
Flame Imp|Flame Imp|Mortal Coil|Mortal Coil|Soulfire|Soulfire|Voidwalker|Voidwalker|Despicable Dreadlord|Despicable Dreadlord|Doomguard|Doomguard|Bloodreaver Gul'dan|Acherus Veteran|Acherus Veteran|Fire Fly|Fire Fly|Acidic Swamp Ooze|Acidic Swamp Ooze|Dire Wolf Alpha|Dire Wolf Alpha|Golakka Crawler|Knife Juggler|Harvest Golem|Dark Iron Dwarf|Defender of Argus|Saronite Chain Gang|Saronite Chain Gang|Bonemare|Bonemare|
Flame Imp|Possessed Villager|Void Terror|Ravenous Pterrordax|Glacial Shard|Ancient Watcher|Crazed Alchemist|Stubborn Gastropod|Devilsaur Egg|Vicious Fledgling|
Kobold Librarian|Kobold Librarian|Voidwalker|Voidwalker|Defile|Defile|Drain Soul|Vulgar Homunculus|Vulgar Homunculus|Hellfire|Hooked Reaver|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Rin, the First Disciple|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Tainted Zealot|Fungal Enchanter|Arcane Tyrant|Arcane Tyrant|Skulking Geist|Medivh, the Guardian|
Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Voidwalker|Defile|Defile|Vulgar Homunculus|Vulgar Homunculus|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Despicable Dreadlord|Despicable Dreadlord|Skull of the Man'ari|Rin, the First Disciple|Siphon Soul|Siphon Soul|Abyssal Enforcer|Abyssal Enforcer|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Tainted Zealot|Tar Creeper|Tar Creeper|Master Oakheart|
Mortal Coil|Defile|Defile|Drain Soul|Drain Soul|Vulgar Homunculus|Vulgar Homunculus|Hellfire|Despicable Dreadlord|Despicable Dreadlord|Rin, the First Disciple|Siphon Soul|Siphon Soul|Twisting Nether|Twisting Nether|Voidlord|Voidlord|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Doomsayer|Doomsayer|Fungal Enchanter|Fungal Enchanter|Tar Creeper|Tar Creeper|Twilight Drake|Twilight Drake|Master Oakheart|
Dark Pact|Dark Pact|Kobold Librarian|Kobold Librarian|Mortal Coil|Mortal Coil|Defile|Defile|Shadow Bolt|Hellfire|Hellfire|Lesser Amethyst Spellstone|Lesser Amethyst Spellstone|Shadowflame|Doomguard|Doomguard|Skull of the Man'ari|Tar Lurker|Tar Lurker|Siphon Soul|Siphon Soul|Twisting Nether|Bloodreaver Gul'dan|Mistress of Mixtures|Mistress of Mixtures|Bloodmage Thalnos|Tar Creeper|Tar Creeper|Carnivorous Cube|Carnivorous Cube|
